"stimID","polParty","ciGroup","trustworthy","dominant","warm","competent","openMinded","intelligent","moral","hardWorking","patriotic","masculine","afrocentric","politics"
"stim001","conservative","ingroup",6.46,7.48,5.92,7.38,6.26,6.94,6.72,7.32,6.46,9.76,7.84,6.12
"stim002","conservative","ingroup",6.82,6.4,6.26,7.18,6.96,7.04,6.86,7.16,6.34,7.96,9.14,6.6
"stim003","conservative","ingroup",6.52,7.2,6.1,7.02,6.28,6.86,6.86,7.32,6.34,9.28,9.32,6.22
"stim004","conservative","ingroup",6.98,7.08,6.64,7.4,6.94,7.48,7.12,7.82,6.3,9,9.36,6.66
"stim005","conservative","ingroup",6.02,7.14,5.6,6.88,5.96,7.1,6.02,7.08,6.44,8,6.66,5.9
"stim006","conservative","ingroup",6.54385964912281,6.29824561403509,6.42105263157895,6.82456140350877,6.45614035087719,6.78947368421053,6.49122807017544,7.01754385964912,5.7719298245614,7.14035087719298,9.73684210526316,6.50877192982456
"stim007","conservative","ingroup",6.03508771929825,7.14035087719298,5.19298245614035,6.92982456140351,5.71929824561404,6.68421052631579,6.10526315789474,6.70175438596491,6.43859649122807,8.73684210526316,8.08771929824561,5.98245614035088
"stim008","conservative","ingroup",6.56140350877193,6.12280701754386,6.59649122807018,6.85964912280702,6.63157894736842,6.82456140350877,6.70175438596491,7.12280701754386,5.87719298245614,6.91228070175439,8.36842105263158,6.73684210526316
"stim009","conservative","ingroup",6.6140350877193,6.17543859649123,6.92982456140351,6.89473684210526,6.98245614035088,7.08771929824561,6.75438596491228,7.17543859649123,6.08771929824561,6.6140350877193,8.33333333333333,6.85964912280702
"stim010","conservative","ingroup",6.07017543859649,6.71929824561404,5.71929824561404,6.42105263157895,5.73684210526316,6.36842105263158,6.14035087719298,7.03508771929825,5.98245614035088,9.80701754385965,7.19298245614035,5.91228070175439
"stim011","conservative","ingroup",6.39583333333333,6.83333333333333,5.75,6.70833333333333,6.22916666666667,6.79166666666667,6.77083333333333,7.02083333333333,6.10416666666667,10.3541666666667,8.22916666666667,6.54166666666667
"stim012","conservative","ingroup",6.8125,6.5,6.47916666666667,7.04166666666667,6.66666666666667,6.875,6.75,7.08333333333333,6.08333333333333,8.45833333333333,9.72916666666667,6.83333333333333
"stim013","conservative","ingroup",7.16666666666667,6.6875,6.60416666666667,7.02083333333333,6.72916666666667,7.125,6.83333333333333,7.29166666666667,5.97916666666667,8.1875,8.875,7
"stim014","conservative","ingroup",6.14893617021277,6.72340425531915,5.74468085106383,6.95744680851064,6.02127659574468,6.61702127659574,6.4468085106383,6.93617021276596,6.65957446808511,9.02127659574468,5.74468085106383,5.38297872340426
"stim015","conservative","ingroup",5.51063829787234,7.25531914893617,4.53191489361702,5.8936170212766,4.95744680851064,6.02127659574468,5.57446808510638,6.1063829787234,6.57446808510638,10.7234042553191,6.48936170212766,4.87234042553191
"stim016","conservative","ingroup",6.48,6.08,6.08,6.86,6.38,6.92,6.68,6.92,5.2,7.54,9.04,6.6
"stim017","conservative","ingroup",6.48,5.76,6.14,6.62,6.3,6.58,6.56,6.84,5.62,7.38,8.8,6.76
"stim018","conservative","ingroup",5.96,6.82,5.1,6.6,6.14,6.6,6.32,6.9,5.62,9.94,9.04,6.28
"stim019","conservative","ingroup",6.82,7.24,6.02,7.08,6.22,6.96,6.6,7.36,5.9,10.42,9.24,6.32
"stim020","conservative","ingroup",7.66,4.98,7.92,7.86,7.9,7.46,7.58,7.8,5.56,4.84,8.88,7.7
"stim021","conservative","ingroup",7.06,7.16,6.88,7.6,7,7.48,7.14,7.56,6.22,7.3,9.16,6.2
"stim022","conservative","ingroup",7.18,7.02,6.56,7.38,6.86,7.14,7.1,7.2,5.94,8.2,8.88,6.8
"stim023","conservative","ingroup",6.7,6.7,6.22,7.16,6.4,6.96,6.74,7.3,6.38,9.8,8.94,6.34
"stim024","conservative","ingroup",7.24,6.86,6.42,7.54,6.76,7.48,7.08,7.54,6.34,8.78,8.28,6.24
"stim025","conservative","ingroup",7.56,6.44,7.74,7.78,7.56,7.8,7.68,8,6.22,7.8,8.36,6.96
"stim026","conservative","outgroup",6.82,6.92,6.36,7.04,6.66,7.3,6.88,7.16,6.24,8.26,9.82,7.26
"stim027","conservative","outgroup",7.04,6.52,6.8,7.36,6.9,6.9,7.1,7.26,6.4,8.36,8.9,6.4
"stim028","conservative","outgroup",7.34,6.68,7.38,7.38,7.08,7.44,7.4,7.62,6.34,4.92,8.72,7.24
"stim029","conservative","outgroup",6.44,6.22,6.38,6.9,6.76,6.92,6.78,7.1,6.54,7.16,8.3,6.46
"stim030","conservative","outgroup",6.96,6.36,6.68,7.4,6.9,6.94,6.96,7.32,6.22,7.68,8.72,6.68
"stim031","conservative","outgroup",6.33333333333333,6.40350877192982,6.31578947368421,6.80701754385965,6.59649122807018,6.66666666666667,6.33333333333333,6.84210526315789,5.98245614035088,8.42105263157895,8.12280701754386,6.26315789473684
"stim032","conservative","outgroup",5.56140350877193,7.21052631578947,4.91228070175439,6.31578947368421,5.57894736842105,6.21052631578947,5.84210526315789,6.40350877192982,5.54385964912281,9.42105263157895,9.42105263157895,6.49122807017544
"stim033","conservative","outgroup",6.14035087719298,6.57894736842105,5.6140350877193,6.68421052631579,5.87719298245614,6.66666666666667,6.45614035087719,6.64912280701754,5.84210526315789,8.3859649122807,8.7719298245614,6.68421052631579
"stim034","conservative","outgroup",6.40350877192982,6.31578947368421,6.54385964912281,6.7719298245614,6.54385964912281,6.63157894736842,6.54385964912281,6.96491228070175,5.52631578947368,7.7719298245614,9.94736842105263,7
"stim035","conservative","outgroup",6.24561403508772,6.03508771929825,6.01754385964912,6.59649122807018,6.10526315789474,6.50877192982456,6.19298245614035,6.59649122807018,6.05263157894737,8.07017543859649,7.01754385964912,6.03508771929825
"stim036","conservative","outgroup",7.1063829787234,6.23404255319149,6.78723404255319,7.25531914893617,6.68085106382979,7.19148936170213,7.08510638297872,7.17021276595745,6.06382978723404,6.19148936170213,7.82978723404255,6.82978723404255
"stim037","conservative","outgroup",6.25,6.5,5.75,6.8125,6.3125,6.47916666666667,6.54166666666667,6.72916666666667,5.4375,8.0625,8.83333333333333,6.54166666666667
"stim038","conservative","outgroup",6.375,6.60416666666667,6.16666666666667,6.77083333333333,6.29166666666667,6.70833333333333,6.3125,7.125,5.83333333333333,8.91666666666667,8.4375,6.48936170212766
"stim039","conservative","outgroup",7.08510638297872,6.48936170212766,6.34042553191489,6.85106382978723,6.51063829787234,6.80851063829787,6.70212765957447,7,5.57446808510638,9.31914893617021,10.5531914893617,7.21276595744681
"stim040","conservative","outgroup",6.5,6.70833333333333,6.14583333333333,6.91666666666667,6.20833333333333,6.79166666666667,6.6875,7.1875,5.75,9,10.0208333333333,6.97916666666667
"stim041","conservative","outgroup",6.66,6.4,5.98,6.92,6.44,6.84,6.6,6.98,5.66,6.3,9.1,6.7
"stim042","conservative","outgroup",5.74,6.94,4.72,6.6,5.22,6.12,5.88,7.06,5.82,9.28,9.02,5.84
"stim043","conservative","outgroup",5.28,6.6,4.56,6.14,5.08,5.8,5.72,6.44,5.5,8.98,8.7,5.82
"stim044","conservative","outgroup",5.92,6.38,5.62,6.66,6.1,6.5,6.18,6.68,5.22,6.76,9,6.74
"stim045","conservative","outgroup",6.52,5.68,6.6,7.08,6.62,6.78,6.8,7.04,5.84,6.32,7.64,6.46
"stim046","conservative","outgroup",6.9,6.96,6.62,7.26,6.7,7.46,6.98,7.4,6.4,8.52,9.52,6.54
"stim047","conservative","outgroup",5.88,7.8,5.36,6.7,5.62,6.78,6.02,6.58,6.14,9.88,7.4,5.4
"stim048","conservative","outgroup",6.78,7.48,6.42,7.62,6.76,7.42,7.08,7.66,6.3,10.64,10.12,6.54
"stim049","conservative","outgroup",6.92,7.1,6.14,7.26,6.56,7.28,6.94,7.42,5.9,9.86,10.06,6.96
"stim050","conservative","outgroup",6.16,7.36,5.7,6.58,5.98,6.42,6.4,7,6.28,9.44,8.38,5.76
"stim051","conservative","outgroup",7,6.44,6.96,7.36,7.34,7.34,7.1,7.54,5.92,6.34,8.8,6.96
"stim052","liberal","ingroup",7.44,6.52,7.72,7.52,7.44,7.68,7.48,7.66,6.68,5.56,9.2,7.08
"stim053","liberal","ingroup",7.2,6.6,6.86,7.26,6.9,7.36,6.9,7.48,6.44,5.54,9.16,6.96
"stim054","liberal","ingroup",6.88,6.94,6.24,7.02,6.72,7.22,6.9,7.18,6.08,8.76,9,6.58
"stim055","liberal","ingroup",6.36,6.88,5.98,6.94,6.28,6.94,6.88,7.2,6.1,9.16,9.7,6.68
"stim056","liberal","ingroup",7.32,6.76,7.14,7.56,7.02,7.52,7.3,7.58,6.2,4.78,9.44,7.26
"stim057","liberal","ingroup",7.08771929824561,6.43859649122807,7.01754385964912,7.33333333333333,6.84210526315789,6.96491228070175,7.15789473684211,7.54385964912281,6.15789473684211,8.59649122807017,9.92982456140351,6.36842105263158
"stim058","liberal","ingroup",6.29824561403509,6.73684210526316,5.57894736842105,6.85964912280702,6.17543859649123,6.96491228070175,6.24561403508772,7.08771929824561,5.80701754385965,8.98245614035088,10.0701754385965,6.71929824561404
"stim059","liberal","ingroup",6.80701754385965,6.2280701754386,6.78947368421053,7,6.73684210526316,7.19298245614035,6.82456140350877,7.12280701754386,5.70175438596491,6.56140350877193,9.52631578947368,7.2280701754386
"stim060","liberal","ingroup",6.75438596491228,6.12280701754386,7.47368421052632,7.17543859649123,7.2280701754386,7.2280701754386,6.84210526315789,7.17543859649123,5.82456140350877,5.10526315789474,8.21052631578947,7.45614035087719
"stim061","liberal","ingroup",5.96491228070175,6.42105263157895,5.78947368421053,6.49122807017544,5.96491228070175,6.35087719298246,6.31578947368421,6.71929824561404,6.33333333333333,7.92982456140351,8.21052631578947,5.98245614035088
"stim062","liberal","ingroup",6.59574468085106,6.06382978723404,6.42553191489362,6.93617021276596,6.36170212765957,7.02127659574468,6.8936170212766,7.08510638297872,5.72340425531915,8.17021276595745,9.34042553191489,6.82978723404255
"stim063","liberal","ingroup",7.83333333333333,5.66666666666667,7.79166666666667,7.5625,7.52083333333333,7.29166666666667,7.58333333333333,7.5,6.25,6.4375,8.91666666666667,7.3125
"stim064","liberal","ingroup",7.0625,6.39583333333333,6.83333333333333,7.35416666666667,6.6875,7.1875,7.04166666666667,7.4375,6.29166666666667,9.58333333333333,9.29166666666667,6.875
"stim065","liberal","ingroup",7.22916666666667,6.39583333333333,7.10416666666667,7.29166666666667,6.79166666666667,7.125,7.0625,7.41666666666667,5.91666666666667,8.20833333333333,8.77083333333333,7.02083333333333
"stim066","liberal","ingroup",7.5625,6.52083333333333,7.33333333333333,7.47916666666667,7.16666666666667,7.54166666666667,7.75,7.75,6.14583333333333,7.375,10.0208333333333,7.02083333333333
"stim067","liberal","ingroup",6.66,6.32,6.12,7.02,6.58,6.88,6.58,7.1,5.72,8,8.18,6.02
"stim068","liberal","ingroup",7.34,5.88,7.2,7.58,7.02,7.32,7.02,7.6,5.52,5.44,9.22,7.3
"stim069","liberal","ingroup",7.16,5.74,7.48,7.46,7.2,7.36,7.26,7.8,5.38,6.26,9.66,7.46
"stim070","liberal","ingroup",6.66,6.16,6.14,7.24,6.56,6.86,6.5,7.08,5.8,5.98,7.74,6.5
"stim071","liberal","ingroup",7.18,5.98,6.96,7.46,6.8,7.3,7,7.38,5.64,6.1,9.96,7.18
"stim072","liberal","ingroup",6.92,7.1,6.84,7.48,6.78,7.36,7.04,7.58,6.36,9.5,8.66,6.16
"stim073","liberal","ingroup",7.7,6.68,7.42,7.7,7.44,7.82,7.52,7.7,6.36,5.98,7.74,6.54
"stim074","liberal","ingroup",7.2,5.92,7.38,7.6,7.52,7.42,7.32,7.5,6.16,7.4,9.3,7.02
"stim075","liberal","ingroup",7.26,6.84,7.38,7.6,7.52,7.4,7.34,7.78,6.24,8.02,10.22,6.92
"stim076","liberal","outgroup",6.52,6.7,5.66,6.86,6.36,6.72,6.54,6.94,6.22,8.94,7.34,6.1
"stim077","liberal","outgroup",6.5,6.98,5.7,6.96,6.16,6.98,6.66,7.26,6.5,10.14,9.22,5.88
"stim078","liberal","outgroup",6.84,6.48,6.88,7.4,6.74,7.4,7.02,7.56,6.08,5.76,8.04,6.62
"stim079","liberal","outgroup",6.34,6.58,6.36,6.86,6.26,6.9,6.66,7.04,6.48,7.52,6.38,5.8
"stim080","liberal","outgroup",6.26,7.16,5.64,6.84,5.92,6.94,6.52,7.18,6.28,7.56,6.02,5.64
"stim081","liberal","outgroup",6.48,6.84,5.98,6.86,6.02,6.98,6.64,7.34,6.4,9.7,8.38,5.36
"stim082","liberal","outgroup",6.19298245614035,7,5.59649122807018,6.63157894736842,5.71929824561404,6.42105263157895,6.15789473684211,6.92982456140351,6.42105263157895,8.8421052631579,6.57894736842105,5.6140350877193
"stim083","liberal","outgroup",6.33333333333333,6.19298245614035,6.14035087719298,6.71929824561404,6.40350877192982,6.7719298245614,6.42105263157895,6.7719298245614,5.98245614035088,6.91228070175439,7.47368421052632,6
"stim084","liberal","outgroup",6.29824561403509,6.84210526315789,5.92982456140351,6.70175438596491,6.2280701754386,6.73684210526316,6.31578947368421,7.08771929824561,6.7719298245614,9.21052631578947,6.01754385964912,5.63157894736842
"stim085","liberal","outgroup",5.75438596491228,7.21052631578947,4.98245614035088,6.21052631578947,5.47368421052632,6.28070175438596,5.59649122807018,6.68421052631579,5.96491228070175,9.96491228070176,8.8421052631579,5.63157894736842
"stim086","liberal","outgroup",6.14035087719298,7.15789473684211,6.10526315789474,6.98245614035088,6.03508771929825,6.85964912280702,6.63157894736842,7.26315789473684,6.98245614035088,10.4561403508772,4.89473684210526,5.03508771929825
"stim087","liberal","outgroup",5.91228070175439,7.07017543859649,5.26315789473684,6.52631578947368,5.75438596491228,6.45614035087719,5.94736842105263,6.87719298245614,5.85964912280702,8.87719298245614,7.57894736842105,5.96491228070175
"stim088","liberal","outgroup",5.72340425531915,7.17021276595745,4.63829787234043,6.4468085106383,5.31914893617021,6.70212765957447,5.91489361702128,6.36170212765957,6.68085106382979,10.1489361702128,5.08510638297872,4.5531914893617
"stim089","liberal","outgroup",6.54166666666667,6.60416666666667,6.33333333333333,6.66666666666667,6.125,6.85416666666667,6.375,6.875,6.02083333333333,8.52083333333333,6.70833333333333,5.77083333333333
"stim090","liberal","outgroup",5.97872340425532,7.04255319148936,5,6.46808510638298,5.72340425531915,6.21276595744681,5.87234042553191,6.70212765957447,6.5531914893617,9.65957446808511,8.21276595744681,5.68085106382979
"stim091","liberal","outgroup",6.16666666666667,7.10416666666667,5.85416666666667,6.9375,5.77083333333333,6.64583333333333,6.27083333333333,6.89583333333333,6.5,10.1875,6.77083333333333,5.58333333333333
"stim092","liberal","outgroup",6.5625,6.5625,6.33333333333333,7.0625,6.35416666666667,6.89583333333333,6.8125,7.125,6.08333333333333,7.02083333333333,6.79166666666667,6.39583333333333
"stim093","liberal","outgroup",5.8936170212766,7.04255319148936,5.21276595744681,6.78723404255319,5.4468085106383,6.72340425531915,6.29787234042553,6.78723404255319,6.27659574468085,9.31914893617021,6.48936170212766,5.14893617021277
"stim094","liberal","outgroup",5.12,6.88,4.54,6.14,5.08,6.06,5.46,6.48,6.38,9.36,6.08,4.68
"stim095","liberal","outgroup",5.38,7.74,4.92,6.68,4.86,5.94,5.86,7.04,7,11.22,5.42,4.44
"stim096","liberal","outgroup",6.78,6.7,6.26,7.14,6.46,7.02,6.7,7.46,6.1,8.36,9.26,6.62
"stim097","liberal","outgroup",6.46,6.36,5.82,6.96,6,6.8,6.68,6.92,5.5,7.7,9.24,6.48
"stim098","liberal","outgroup",5.98,6.12,5.58,7.04,5.8,6.58,6.26,6.92,6.06,7.3,7.26,5.64
"stim099","liberal","outgroup",5.8,6.16,5.48,6.32,5.46,6.14,5.94,6.66,5.82,8.24,8.06,6.5
"stim100","liberal","outgroup",6.16,7,5.54,7.04,6.04,7.04,6.36,7.02,6.3,8.62,6.02,5.4
"stim101","liberal","outgroup",5.94,7.3,5.4,6.84,5.88,6.52,6.12,7.02,6.06,10.28,9.36,5.96
"stim102","liberal","outgroup",6.48,7.46,5.82,7.28,6.08,7.04,6.72,7.4,6.5,8.9,7.54,5.6
"stim103","liberal","outgroup",6.62,7.68,5.86,7.34,6.26,6.86,6.46,7.46,6.16,10.24,9.74,6.34
"stim104","liberal","outgroup",6.96,7.04,6.78,7.2,6.88,7.32,7,7.5,6.38,8.84,9.66,6.72
"stim105","liberal","outgroup",6.78,6.72,6.14,7.06,6.12,6.68,6.44,7.04,6.28,8.98,7.1,5.84
